Date;Location;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustDir;WindGustSpeed;WindDir9am;WindDir3pm;WindSpeed9am;WindSpeed3pm;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;Cloud9am;Cloud3pm;Temp9am;Temp3pm;RainToday;RISK_MM;RainTomorrow
13.06.2014;Albury;07.9;12.2;03.6;NA;NA;ENE;20;NA;E;0;9;100;100;1016.1;1013.2;8;8;10.3;12.2;Yes;17.4;Yes
25.04.2015;BadgerysCreek;10.1;24;0;NA;NA;WSW;50;NA;SW;0;7;100;83;1008.8;1004.7;NA;NA;14.4;18.2;No;18;Yes
08.04.2017;Cobar;14.8;29;0;NA;NA;NE;35;NE;N;22;17;49;25;1022.9;1017.7;NA;1;20.5;27.7;No;0;No
24.08.2016;Cobar;05.8;12.8;0.2;0.6;NA;SW;33;SSW;WSW;11;15;96;69;1012.3;1009.3;8;8;07.6;12.4;No;02.6;Yes
18.06.2012;Albury;01.3;12.7;0;NA;NA;W;22;NA;WNW;0;11;96;75;1024.7;1023.5;NA;8;05.6;11.3;No;02.8;Yes
14.04.2009;CoffsHarbour;19;24.2;21.2;1;3;S;22;NA;S;0;9;93;91;1014.8;1011;7;7;21.3;22.8;Yes;7;Yes
24.07.2016;Cobar;04.9;14.8;0;02.2;NA;NNW;41;NE;NNW;13;24;83;56;1017.1;1013.2;5;8;07.9;14.4;No;0;No
26.12.2013;Albury;14.9;30.8;0;NA;NA;SW;52;ESE;NNE;7;11;61;28;1013.4;1008.7;NA;1;22.4;29.8;No;01.4;Yes
05.04.2014;BadgerysCreek;16.5;26;12;NA;NA;SSE;31;SW;SSE;4;6;96;66;1018.7;1016.3;NA;NA;18.6;25.1;Yes;02.6;Yes
31.05.2013;Albury;11.2;17.6;16;NA;NA;NE;30;NE;NE;6;13;100;82;1026.2;1022.7;7;8;13.9;17;Yes;19.4;Yes
01.05.2009;CoffsHarbour;13.2;22;0;03.8;04.8;SW;30;SW;SSE;13;17;65;60;1023.5;1021.1;6;6;18.1;20.8;No;0;No
04.04.2013;BadgerysCreek;14.3;19.6;08.6;NA;NA;SE;20;SW;ENE;9;7;98;87;1028.4;1027.7;NA;NA;14.9;17.9;Yes;05.4;Yes
09.02.2012;Cobar;14.2;30;0;08.4;NA;WSW;31;SE;NW;9;7;39;19;1010.6;1008.5;1;1;21.6;29.4;No;09.8;Yes
10.07.2010;Albury;01.5;16.1;0;NA;NA;N;46;NNW;NNE;6;28;96;61;1024.1;1019.5;NA;8;5;15;No;13.4;Yes
10.08.2010;Albury;04.4;16;07.2;NA;NA;NNW;41;E;N;9;15;86;77;1013.9;1008.7;8;8;09.7;15.2;Yes;08.2;Yes
25.06.2017;Albury;03.9;10.9;0;NA;NA;NNW;28;S;NA;6;0;88;82;1020.5;1018.8;7;8;06.4;08.8;No;01.4;Yes
24.11.2014;BadgerysCreek;19.8;34.7;0;NA;NA;ENE;28;ENE;ESE;2;17;79;45;1015.1;1006.7;NA;NA;22.2;31.4;No;3;Yes
29.09.2016;Cobar;9;17;03.4;05.8;NA;NW;65;WNW;NW;33;37;NA;NA;1000.1;998.3;NA;8;13.1;15.8;Yes;02.6;Yes
19.02.2017;Cobar;11.9;25.6;0;NA;NA;WSW;43;S;WSW;13;19;34;20;1012;1009.9;NA;NA;17.3;23.5;No;0;No
15.06.2015;BadgerysCreek;7;18.1;0;NA;NA;SSW;15;SW;NE;9;6;99;79;1028;1025.2;NA;NA;11.5;17;No;01.8;Yes
04.02.2010;CoffsHarbour;21.5;27.7;20;06.6;07.5;N;35;SW;E;13;17;88;79;1011.3;1009.2;7;7;24.2;26.5;Yes;01.2;Yes
17.08.2010;CoffsHarbour;8;17.3;0;03.2;10.5;S;33;SW;E;20;11;40;40;1022.1;1020.2;1;1;15.1;16.8;No;0;No
25.07.2012;Albury;02.9;14.6;0;NA;NA;NE;28;NA;NE;0;13;94;64;1021.9;1016.8;8;8;7;14.1;No;02.4;Yes
28.10.2015;Cobar;13.9;30.7;0;09.2;NA;E;39;ENE;SE;26;11;55;29;1019.3;1015.7;1;3;18.5;30;No;0;No
13.12.2016;Cobar;21;37;0;12.6;NA;N;41;N;N;22;20;NA;NA;1015.7;1011.6;NA;1;30.5;35.6;No;0;No
18.06.2010;Albury;3;12.2;02.2;NA;NA;W;24;NW;W;7;13;88;70;1019.6;1018;7;2;06.9;10.9;Yes;01.8;Yes
02.09.2015;Albury;01.9;17.6;0;NA;NA;ENE;31;ESE;E;7;17;87;53;1016.5;1009;8;NA;07.6;16.7;No;23;Yes
07.10.2011;CoffsHarbour;13.3;21.1;0;0.2;07.9;SSE;24;SW;E;13;13;70;71;1013.5;1010.3;4;7;18.9;19.8;No;01.6;Yes
01.09.2010;Cobar;10.9;26.7;0;03.8;NA;NNW;37;N;NW;15;17;51;40;1018.5;1013.4;6;7;17.6;25.7;No;2;Yes
13.08.2009;CoffsHarbour;08.3;21.2;0;02.6;10.2;SSW;28;W;E;7;13;62;38;1015.5;1012.3;0;0;18.2;20.1;No;0;No
08.01.2011;BadgerysCreek;19.1;29;9;NA;NA;S;43;NA;E;0;19;87;55;1014.3;1011.7;NA;NA;21.6;26.8;Yes;02.2;Yes
14.09.2016;Albury;12.4;16.2;08.6;NA;NA;N;46;NW;NW;30;22;84;56;1009.5;1008.8;7;8;14.1;15.4;Yes;10.8;Yes
20.04.2015;BadgerysCreek;10.9;15;07.2;NA;NA;S;48;SSW;SW;22;26;90;99;1024.2;1022;NA;NA;13;13.2;Yes;83.6;Yes
14.04.2015;Albury;10.3;21.8;0;NA;NA;SSE;24;E;SSE;6;19;77;53;1022.3;1019.6;7;8;14.1;21;No;3;Yes
28.12.2010;CoffsHarbour;18.5;22.5;30.4;05.8;0;SSE;50;SW;SW;20;11;95;84;1016.2;1017.1;8;8;18.9;20.2;Yes;11;Yes
05.06.2017;Cobar;01.1;15.8;0;NA;NA;S;26;S;SW;9;15;80;37;1027.2;1024.7;4;NA;6;15.3;No;0;No
24.04.2010;Cobar;18;30.3;0;05.8;01.5;SW;46;NNW;WNW;20;20;49;30;1016.3;1011.8;7;7;23.7;29.3;No;08.4;Yes
15.09.2013;Cobar;10.8;23.2;0;05.2;NA;NE;39;ENE;E;19;9;36;77;1017.3;1014.8;2;8;20.3;17.2;No;07.6;Yes
12.09.2010;CoffsHarbour;07.9;23.1;0;04.2;10.1;NE;43;NW;NE;17;30;53;52;1021.9;1018.2;1;3;20.7;20.9;No;0;No
16.12.2009;CoffsHarbour;19.2;NA;0;03.8;11.6;NA;NA;NNW;NE;13;33;62;67;1021.2;1018.6;1;1;26.1;26.3;No;0;No
21.05.2011;CoffsHarbour;11.3;22.2;08.8;01.6;08.4;NE;24;W;NE;6;17;90;64;1025.9;1022.4;3;3;16.1;21.5;Yes;0;No
30.03.2011;CoffsHarbour;18;26.3;15.6;3;07.4;ENE;28;W;ENE;6;20;89;62;1021.2;1017.7;6;1;20.4;25.4;Yes;0.2;No
10.08.2010;CoffsHarbour;14.4;19.1;6;03.4;0.2;N;43;N;NNE;20;20;75;91;1020.7;1017.4;8;8;17.6;17.1;Yes;07.6;Yes
09.09.2016;Albury;12.6;17.8;4;NA;NA;N;50;NNE;NE;20;20;86;91;1014.8;1009.8;8;8;15.1;15.7;Yes;17;Yes
25.08.2014;BadgerysCreek;06.9;21.1;0;NA;NA;E;28;W;E;4;15;89;62;1025.9;1021.7;NA;NA;13.4;18.2;No;07.4;Yes
17.10.2011;CoffsHarbour;15.9;21.9;09.8;05.4;07.5;SSW;44;SW;S;17;31;87;53;1028.4;1028.8;7;7;16.9;20.7;Yes;0;No
21.03.2014;Albury;16;30.8;0;NA;NA;NNW;72;ENE;NNW;13;35;54;56;1019.1;1015.1;NA;8;23.8;23.5;No;04.4;Yes
15.09.2013;Albury;03.7;20.3;0.2;NA;NA;NNE;50;SE;E;13;7;84;48;1018.6;1014.6;NA;NA;11.7;19.3;No;03.2;Yes
29.10.2011;BadgerysCreek;13.7;28.1;0;NA;NA;N;24;SW;NE;4;9;92;68;1011.2;1008.4;NA;NA;19.4;26.5;No;01.8;Yes
27.12.2009;BadgerysCreek;17;22.8;1;NA;NA;NNE;17;SSW;NE;9;11;86;80;1018.4;1016.1;NA;NA;20.3;22.3;No;23.4;Yes
29.07.2010;BadgerysCreek;9;13.4;21;NA;NA;WSW;28;NA;NE;0;6;100;100;1019.4;1016.1;NA;NA;10.4;13.1;Yes;07.2;Yes
04.05.2011;CoffsHarbour;14.7;23.5;17.8;02.8;09.5;SW;48;WSW;S;11;26;87;57;1013.9;1011.7;3;3;17.7;21.6;Yes;0;No
19.09.2011;CoffsHarbour;15.4;23.6;0;6;09.8;SSW;44;SW;E;19;15;64;73;1022.3;1017.1;5;1;21.4;21.5;No;0;No
27.07.2016;Cobar;08.1;15.1;0;01.6;NA;SW;35;W;WSW;19;19;67;47;1019.8;1020.9;2;1;11.2;14.2;No;0;No
02.05.2012;Albury;07.6;16.3;0;NA;NA;W;30;NE;WNW;17;22;94;89;1021.7;1019.5;7;8;14.2;15.8;No;01.6;Yes
29.03.2010;BadgerysCreek;19.1;24.3;0.8;NA;NA;NA;NA;NA;NA;0;NA;91;NA;1017.5;NA;NA;NA;21.2;NA;No;7;Yes
08.12.2015;Cobar;27.4;31.4;0;16.4;NA;ESE;56;ESE;N;11;11;44;58;1014.5;1013;7;7;27.9;25.1;No;05.6;Yes
24.07.2010;BadgerysCreek;04.6;18.7;0;NA;NA;E;22;SW;E;11;6;86;46;1031;1027.5;NA;NA;10.9;17.2;No;03.4;Yes
29.04.2010;CoffsHarbour;11.6;25.4;0;03.6;10.4;SW;26;WSW;ENE;11;19;58;48;1020.7;1017.4;0;0;20.4;24.1;No;0;No
10.04.2009;CoffsHarbour;14.8;25.1;2;01.4;06.6;NNE;37;NNE;NNE;17;24;83;61;1024.5;1021.4;7;7;20.4;23.5;Yes;0;No
01.01.2016;Cobar;24.5;36.4;0;NA;NA;S;31;ENE;SSE;20;15;23;13;1011.7;1008.3;NA;1;28.3;34.5;No;0;No
10.05.2017;Cobar;06.4;23.5;0;NA;NA;E;39;ESE;SSE;17;7;59;26;1024.7;1021.6;NA;NA;14.1;22.4;No;0;No
07.08.2016;Cobar;05.8;17.9;0;02.2;NA;NNW;24;E;WNW;2;13;67;43;1025.6;1023;4;2;12.5;16.9;No;0;No
24.08.2010;Albury;06.4;13.3;01.8;NA;NA;WNW;67;NW;NNW;19;22;90;55;1013.2;1010.3;8;8;09.4;11.7;Yes;01.8;Yes
19.12.2011;BadgerysCreek;16.2;24;01.8;NA;NA;ENE;28;NA;N;0;6;96;75;1010.9;1007.7;NA;NA;18;23.2;Yes;32.8;Yes
21.04.2009;BadgerysCreek;13.2;20.4;02.4;NA;NA;S;43;S;S;20;17;85;85;1023.9;1021.7;NA;NA;16.1;17.3;Yes;08.4;Yes
27.04.2017;Cobar;05.5;15.6;0.2;NA;NA;SW;52;SSW;SW;20;26;69;40;1021.4;1019.9;NA;4;9;15.1;No;0;No
26.06.2009;Cobar;07.8;12.2;0.2;02.2;0.1;NNE;28;NE;NNE;6;17;81;95;1010.3;1006.6;7;7;09.3;11.6;No;38.8;Yes
15.08.2016;Cobar;04.5;19.8;0;06.4;NA;ESE;24;ESE;E;17;9;72;37;1031;1027.5;NA;NA;11;19.4;No;0;No
23.01.2012;Cobar;19.7;31.2;0;14.2;NA;E;46;ENE;ENE;24;22;62;30;1016.3;1012.9;7;7;21.1;30.1;No;01.6;Yes
07.09.2011;CoffsHarbour;11.6;24.9;0;4;08.7;NE;35;NW;NE;17;26;53;71;1018.9;1015.9;1;5;20.7;20.4;No;0;No
09.05.2016;Cobar;16.5;21.2;43;2;NA;WNW;52;NNE;NW;24;30;96;42;1005.7;1006.2;8;1;18.8;19;Yes;01.2;Yes
24.09.2011;BadgerysCreek;12.8;18.1;0.2;NA;NA;ENE;24;SW;ESE;4;11;88;72;1021.8;1017.6;NA;NA;14.6;16.4;No;22.2;Yes
07.11.2011;CoffsHarbour;19.5;27.5;0;05.4;04.5;NE;44;NNW;NE;6;31;69;63;1015.3;1013.5;6;5;23.3;24.6;No;0;No
27.01.2016;Albury;18.5;25.7;19.4;NA;NA;W;37;ESE;E;9;17;96;65;1014.9;1010.5;8;8;18.9;23.2;Yes;04.2;Yes
06.10.2016;Cobar;07.6;26.5;0;05.4;NA;W;28;WNW;NNW;6;9;NA;NA;1023.7;1021.5;NA;NA;16.9;25.6;No;0;No
15.06.2009;CoffsHarbour;08.8;20.7;0;01.2;05.1;WNW;28;SSW;ENE;7;11;72;59;1014.2;1011.1;6;4;14.2;19;No;10.6;Yes
26.06.2011;CoffsHarbour;09.4;22.4;0;NA;07.7;N;30;NNW;NNW;9;13;72;52;1028.8;1024.8;1;2;17.1;20.6;No;0;No
04.03.2012;Cobar;20.5;25.9;16.2;03.2;NA;WSW;30;NW;S;7;13;97;80;1010.4;1011.3;8;7;21.8;23.2;Yes;16;Yes
10.09.2009;CoffsHarbour;05.4;21.1;0;03.8;10.7;NE;30;E;ENE;9;20;50;39;1017.6;1015;0;2;17.8;20.3;No;0;No
07.09.2010;CoffsHarbour;08.2;20.7;0;03.8;10.1;SW;35;SW;E;17;13;42;38;1023.3;1020.5;1;5;18.2;19.5;No;0;No
28.08.2011;CoffsHarbour;12.2;20.9;25;0.6;10.7;SSW;35;SW;SSE;17;15;70;62;1019.7;1017.2;1;1;17.3;20;Yes;0;No
02.02.2010;CoffsHarbour;20.7;26.6;03.8;5;2;SSE;46;SSE;SW;24;17;61;89;1012.5;1011.1;5;8;25.7;23.3;Yes;67;Yes
28.12.2016;Albury;21.9;35.6;0;NA;NA;NW;50;NNE;NW;20;28;50;26;1008.2;1004.9;NA;NA;28.1;34.4;No;03.8;Yes
03.08.2011;CoffsHarbour;08.5;21.3;0;2;10.2;NE;37;NNW;NE;9;28;62;56;1025.5;1024;0;0;17.5;19.7;No;0;No
24.05.2009;CoffsHarbour;17.5;21.5;03.6;02.6;0.7;SE;48;ESE;SE;22;20;67;60;1023.6;1022.3;7;6;19.7;20.1;Yes;02.8;Yes
02.10.2010;Cobar;10.7;15.2;0.6;02.6;NA;ENE;37;NNE;W;6;7;88;97;1023.5;1023.4;7;8;14;12.7;No;09.6;Yes
24.07.2016;Albury;-0.2;10.1;0.6;NA;NA;WNW;28;NE;N;9;13;86;77;1015.5;1010.7;NA;8;04.7;08.7;No;12;Yes
15.09.2011;CoffsHarbour;06.4;27.1;0;03.4;11;SW;31;NA;E;0;15;39;57;1021.6;1018.4;1;1;21.6;21.8;No;0;No
20.01.2014;BadgerysCreek;19.4;28;0;NA;NA;SE;30;SSE;SE;4;19;70;65;1009.3;1007.5;NA;NA;23.5;25.1;No;05.2;Yes
14.07.2010;CoffsHarbour;16.4;21.7;0;02.2;05.8;NNW;59;NE;ESE;15;17;69;40;1011.8;1011.3;6;1;18.5;19.9;No;0;No
21.09.2010;CoffsHarbour;14;20.7;06.6;0.2;3;SSW;30;WSW;SE;15;11;86;76;1022.9;1020;7;6;17.1;20;Yes;02.8;Yes
10.11.2009;CoffsHarbour;13;23.6;0;03.8;11.4;NA;NA;S;ESE;9;19;64;55;1023.2;1021;1;3;21.4;22.6;No;0;No
21.11.2009;Albury;19.3;21;10.6;NA;NA;NE;37;NE;SSE;9;9;95;91;1010.8;1009;8;8;19.7;20.8;Yes;25.8;Yes
07.03.2014;BadgerysCreek;15.7;28.8;0;NA;NA;SSE;41;SSE;WNW;4;9;93;59;1020.2;1018.1;NA;NA;19.6;27.1;No;10.8;Yes
08.05.2016;BadgerysCreek;12.7;20.1;0;NA;NA;S;13;NA;NA;0;0;100;82;1018.3;1013.9;NA;NA;16.5;19.7;No;06.8;Yes
28.11.2009;CoffsHarbour;19.2;29.8;0;05.2;09.9;N;52;ESE;NE;9;24;61;57;1008;1004.9;1;1;27.7;28.4;No;09.8;Yes
